gloss,text
INTERNATIONAL HEALTH REGULATION VOTE,international health regulations vote
CONVENTION ON FIGHT AGAINST DESERTIFICATION VOTE,convention on the fight against desertification vote
HUMAN RIGHTS DIALOGUE  CONSULTATION ON HUMAN RIGHTS  THIRD COUNTRY VOTE,human rights dialogues and consultations on human rights with third countries vote
SUSTAINABILITY IN EU FISHERY THROUGH MAXIMUM SUSTAINABLE YIELD VOTE,sustainability in eu fisheries through maximum sustainable yield vote
SIT  SUSPEND  12.25 P.M.  RESUME  3 P.M.,the sitting was suspended at 12.25 p.m. and resumed at 3 p.m.
RESOLUTION ON BURMA,resolution on burma
WRITE DECLARATION  ENTRY IN REGISTER RULE 116 SEE MINUTE,written declarations for entry in the register rule 116 see minutes
ORAL QUESTION  WRITE DECLARATION TABLE SEE MINUTE,oral questions and written declarations tabling see minutes
SIT  CLOSE  9.40 P.M.,the sitting was closed at 9.40 p.m.
EC PANAMA AGREEMENT ON CERTAIN ASPECT AIR SERVICE VOTE,ec panama agreement on certain aspects of air services vote
EC KYRGYZSTAN AGREEMENT ON CERTAIN ASPECT AIR SERVICE VOTE,ec kyrgyzstan agreement on certain aspects of air services vote
EC ISRAEL AGREEMENT ON SCIENTIFIC  TECHNICAL COOPERATION VOTE,ec israel agreement on scientific and technical cooperation vote
PARTICIPATION BULGARIUM  ROMANIUM IN EEC SAN MARINO AGREEMENT ON COOPERATION  CUSTOM UNION VOTE,participation of bulgaria and romania in the eec san marino agreement on cooperation and customs union vote
NATIONAL AID GRANT  FINLAND  SEED  CEREAL SEED VOTE,national aid granted by finland for seeds and cereal seed vote
ROAD SAFETY PASSENGER HAND HOLD ON TWO WHEEL MOTOR VEHICLE VOTE,road safety passenger hand holds on two wheel motor vehicles vote
REPORT MAYER,report mayer
ROAD SAFETY STAND  TWO WHEEL MOTOR VEHICLE VOTE,road safety stands for two wheel motor vehicles vote
REAR REGISTRATION PLATE TWO  THREE WHEEL MOTOR VEHICLE VOTE,rear registration plate of two or three wheel motor vehicles vote
"APPLICATION COMPETITION RULE  TRANSPORT  RAIL , ROAD  INLAND WATERWAY VOTE","application of competition rules to transport by rail , road and inland waterway vote"
REAR VIEW MIRROR  WHEEL AGRICULTURAL  FORESTRY TRACTOR VOTE,rear view mirrors for wheeled agricultural or forestry tractors vote
ROLL OVER PROTECTION STRUCTURE WHEEL AGRICULTURAL  FORESTRY TRACTOR VOTE,roll over protection structures of wheeled agricultural or forestry tractors vote
STATISTICS ON EDUCATION  LIFELONG LEARN VOTE,statistics on education and lifelong learning vote
DEVELOPMENT COMMUNITY POSS RAILWAY VOTE,development of the community's railways vote
RAIL PASSENGERSRIGHT  OBLIGATION VOTE,rail passengersrights and obligations vote
SIT  SUSPEND  12.35 .M.  RESUME  3.00 P.M.,the sitting was suspended at 12.35 a.m. and resumed at 3.00 p.m.
EUROPEAN INSTITUTE TECHNOLOGY VOTE,european institute of technology vote
SET ASIDE  YEAR 2008 VOTE,set aside for year 2008 vote
PROPOSAL  COUNCIL REGULATION SET ASIDE  YEAR 2008 C6 0302 2007,proposal for a council regulation set aside for year 2008 c6 0302 / 2007
TOWARDS COMMON EUROPEAN FOREIGN POLICY ON ENERGY VOTE,towards a common european foreign policy on energy vote
POLICY PRIORITY IN FIGHT AGAINST ILLEGAL IMMIGRATION THIRD COUNTRY NATIONAL VOTE,policy priorities in the fight against illegal immigration of third country nationals vote
SIT  SUSPEND  1.15 P.M.  RESUME  3 P.M.,the sitting was suspended at 1.15 p.m. and resumed at 3 p.m.
SIT CLOSE  23.55,the sitting closed at 23.55
NEED  COMPREHENSIVE STRATEGY  CONTROL CANCER WRITE DECLARATION SEE MINUTE,need for a comprehensive strategy to control cancer written declaration see minutes
EFFICIENCY  EQUITY IN EUROPEAN EDUCATION  TRAINING SYSTEM VOTE,efficiency and equity in european education and training systems vote
IMPLEMENTATION COUNCIL DECISION CONCERN MORATORIUM AGAINST DEATH PENALTY VOTE,implementation of the council decision concerning the moratorium against the death penalty vote
OBLIGATION CROSS BORDER SERVICE PROVIDER VOTE,obligations of cross border service providers vote
EQUAL TREATMENT BETWEEN PERSON IRRESPECTIVE RACIAL  ETHNIC ORIGIN VOTE,equal treatment between persons irrespective of racial or ethnic origin vote
DY CRIMINATION  SOCIAL EXCLUSION AFFECT CHILD WITHDY ABILITY WRITE DECLARATION SEE MINUTE,dys crimination and social exclusion affecting children withdys abilities written declaration see minutes
WRITE DECLARATION TABLE SEE MINUTE,written declarations tabling see minutes
REPORT HELMUTH MARKOV,report helmuth markov
ACCESSION BULGARIUM  ROMANIUM  CONVENTION ON LAW APPLICABLE  CONTRACTUAL OBLIGATION VOTE,accession of bulgaria and romania to the convention on the law applicable to contractual obligations vote
COLLECTION  MANAGEMENT DATUM ON COMMON FISHERY POLICY VOTE,collection and management of data on the common fisheries policy vote
AIRPORT CAPACITY  GROUND HANDLE VOTE,airport capacity and ground handling vote
EC CHILE ASSOCIATION AGREEMENT ACCESSION BULGARIUM  ROMANIUM VOTE,ec chile association agreement accession of bulgaria and romania vote
RECOMMENDATION HELMUTH MARKOV A6 0361 2007,recommendation helmuth markov a6 0361 2007
EC SWISS CONFEDERATION AGREEMENT ON SCIENTIFIC  TECHNICAL COOPERATION VOTE,ec swiss confederation agreement on scientific and technical cooperation vote
COMMUNITY PLANT VARIETY RIGHTS VOTE,community plant variety rights vote
REPORT NEIL PARISH A6 0373 2007,report neil parish a6 0373 2007
NUCLEAR ENERGY RATIFICATION  SLOVENIA PROTOCOL AMEND PARI CONVENTION VOTE,nuclear energy ratification by slovenia of the protocol amending the paris convention vote
STATEMENT  PRESIDENT SEE MINUTE,statement by the president see minutes
RECOMMENDATION  SECOND READING S,recommendation for second reading gauzès
AGREEMENT BETWEEN EC  BOSNIUM  HERZEGOVINA ON READMISSION VOTE,agreement between the ec and bosnia and herzegovina on readmission vote
AGREEMENT BETWEEN EC  FORMER YUGOSLAV REPUBLIC MACEDONIUM ON READMISSION VOTE,agreement between the ec and the former yugoslav republic of macedonia on readmission vote
AGREEMENT BETWEEN EC  FORMER YUGOSLAV REPUBLIC MACEDONIUM ON SHORT STAY VISA VOTE,agreement between the ec and the former yugoslav republic of macedonia on short stay visas vote
MOBILISATION EU SOLIDARITY FUND VOTE,mobilisation of the eu solidarity fund vote
EUROPEAN STATISTICAL GOVERNANCE ADVISORY BOARD VOTE,european statistical governance advisory board vote
REPORT BOWLE,report bowles
EUROPEAN STATISTICAL ADVISORY COUNCIL VOTE,european statistical advisory council vote
BATTERY  ACCUMULATOR  WASTE BATTERY  ACCUMULATOR IMPLEMENT POWER CONFER ON COMMISSION VOTE,batteries and accumulators and waste batteries and accumulators implementing powers conferred on the commission vote
COMMUNICATION INFRASTRUCTURE  SCHENGEN INFORMATION SYSTEM ENVIRONMENT REGULATION VOTE,communication infrastructure for the schengen information system environment regulation vote
MUTUAL ASSISTANCE  COOPERATION BETWEEN CUSTOM ADMINISTRATION VOTE,mutual assistance and cooperation between customs administrations vote
REPORT TOMA,report toma
MATIC STRATEGY ON SUSTAINABLE USE PESTICIDE VOTE,thematic strategy on the sustainable use of pesticides vote
CONVENTIONAL ENERGY SOURCE  ENERGY TECHNOLOGY VOTE,conventional energy sources and energy technology vote
ORIGIN MARK WRITE DECLARATION SEE MINUTE,origin marking written declaration see minutes
EC MADAGASCAR FISHERY PARTNERSHIP AGREEMENT VOTE,ec madagascar fisheries partnership agreement vote
EC MOZAMBIQUE FISHERY PARTNERSHIP AGREEMENT VOTE,ec mozambique fisheries partnership agreement vote
CLUSTER BOMB VOTE,cluster bombs vote
EUROPEAN OMBUDSMAN POSS ACTIVITY IN 2006 VOTE,european ombudsman's activities in 2006 vote
SUDAN KILL AFRICAN UNION PEACE KEEP SOLDIER VOTE,sudan killing of african union peace keeping soldiers vote
RESOLUTION SUDAN KILL AFRICAN UNION PEACEKEEP SOLDIER RC,resolution sudan killing of african union peacekeeping soldiers rc
MOTION  RESOLUTION COMMISSION STATEMENT ON COMPANY LAW,motion for a resolution commission statement on company law
SIT  CLOSE  4.35 P.M.,the sitting was closed at 4.35 p.m.
LAPSE WRITE DECLARATION SEE MINUTE,lapsed written declarations see minutes
DATUM IN FISHERY SECTOR  SCIENTIFIC ADVICE REGARD COMMON FISHERY POLICY VOTE,data in the fisheries sector and scientific advice regarding the common fisheries policy vote
STATUTE  EURATOM SUPPLY AGENCY VOTE,statutes for the euratom supply agency vote
ROLE SPORT IN EDUCATION VOTE,the role of sport in education vote
MATIC STRATEGY  SOIL PROTECTION VOTE,thematic strategy for soil protection vote
SIT  SUSPEND  11.55  RESUME  12.00,the sitting was suspended at 11.55 and resumed at 12.00
SIT  SUSPEND  13.15  RESUME  15.00,the sitting was suspended at 13.15 and resumed at 15.00
SIT  SUSPEND  19.50  RESUME  21.05,the sitting was suspended at 19.50 and resumed at 21.05
REGIONAL IMPACT EARTHQUAKE VOTE,the regional impact of earthquakes vote
EUROPEAN UNION  HUMANITARIAN AID VOTE,the european union and humanitarian aid vote
REPORT THIERRY CORNILLET,report thierry cornillet
CAPITAL ADEQUACY INVESTMENT FIRM  CREDIT INSTITUTION IMPLEMENT POWER CONFER ON COMMISSION VOTE,capital adequacy of investment firms and credit institutions implementing powers conferred on the commission vote
LIFE ASSURANCE IMPLEMENT POWER CONFER ON COMMISSION VOTE,life assurance implementing powers conferred on the commission vote
REPORT PERVENCHE S,report pervenche berès
INSIDER DEAL  MARKET MANIPULATION IMPLEMENT POWER CONFER ON COMMISSION VOTE,insider dealing and market manipulation implementing powers conferred on the commission vote
MARKET IN FINANCIAL INSTRUMENT IMPLEMENT POWER CONFER ON COMMISSION VOTE,markets in financial instruments implementing powers conferred on the commission vote
PROSPECTUS ON SECURITY IMPLEMENT POWER CONFER ON COMMISSION VOTE,prospectus on securities implementing powers conferred on the commission vote
REPORT MICHAEL CASHMAN,report michael cashman
PLACE ON MARKET BIOCIDAL PRODUCT IMPLEMENT POWER CONFER ON COMMISSION VOTE,placing on the market of biocidal products implementing powers conferred on the commission vote
STATUTORY AUDIT ANNUAL ACCOUNT  CONSOLIDATED ACCOUNT IMPLEMENT POWER CONFER ON COMMISSION VOTE,statutory audit of annual accounts and consolidated accounts implementing powers conferred on the commission vote
INTERNATIONAL ACCOUNTING STANDARD IMPLEMENT POWER CONFER ON COMMISSION VOTE,international accounting standards implementing powers conferred on the commission vote
REPORT PHILIP BRADBOURN,report philip bradbourn
INTERNATIONAL ACCOUNTING STANDARD IFR 8 VOTE,international accounting standards ifrs 8 vote
APPLICATION INTERNATIONAL ACCOUNTING STANDARD VOTE,application of the international accounting standards vote
REPORT ON DELIBERATION COMMITTEE ON PETITION DURING YEAR 2006 VOTE,report on the deliberations of the committee on petitions during the year 2006 vote
SIT  CLOSE  11.30 P.M.,the sitting was closed at 11.30 p.m.
QUARTERLY STATISTICS ON COMMUNITY JOB VACANCY VOTE,quarterly statistics on community job vacancies vote
ATHANASIU REPORT,athanasiu report
RECOVERY PLAN  BLUEFIN TUNA IN EASTERN ATLANTIC  MEDITERRANEAN VOTE,recovery plan for bluefin tuna in the eastern atlantic and the mediterranean vote
SIT  SUSPEND  1.20 P.M.  RESUME  3 P.M.,the sitting was suspended at 1.20 p.m. and resumed at 3 p.m.
CHRISTIAN COMMUNITY IN MIDDLE EAST VOTE,christian communities in the middle east vote
AFTER VOTE ON FIRST MOTION  RESOLUTION,after the vote on the first motion for a resolution
"MADAM PRESIDENT , I  NOT VOTE IN TIME .","madam president , I could not vote in time ."
PLEASE PUT MY VOTE IN FAVOR .,please put my vote in favour .
PROCLAMATION CONSENSUS ON HUMANITARIAN AID MOTION  RESOLUTION TABLE SEE MINUTE,proclamation of consensus on humanitarian aid motions for resolutions tabled see minutes
SITUATION IN GEORGIUM MOTION  RESOLUTION TABLE SEE MINUTE,situation in georgia motions for resolutions tabled see minutes
SIT CLOSE  00.05 .,the sitting closed at 00.05 .
REPORT ARLENE MCCARTHY,report arlene mccarthy
AGREEMENT BETWEEN EC  EGYPT ON SCIENTIFIC  TECHNOLOGICAL COOPERATION VOTE,agreement between the ec and egypt on scientific and technological cooperation vote
EUROPEAN SUPERVISION ORDER IN PRE TRIAL PROCEDURE VOTE,european supervision order in pre trial procedures vote
"TREATMENT QUESTION REFER  PRELIMINARY RULING CONCERN AREA FREEDOM , SECURITY  JUSTICE VOTE","treatment of questions referred for a preliminary ruling concerning the area of freedom , security and justice vote"
COORDINATION CERTAIN MEMBER STATESPROVISION ON TELEVISION BROADCASTING VOTE,coordination of certain of the member statesprovisions on television broadcasting vote
REPORT RUTH HIERONYMUS,report ruth hieronymi
AMENDMENT DIRECTIVE 2004 49 EC ON SAFETY ON COMMUNITY POSS RAILWAY VOTE,amendment of directive 2004 / 49 / ec on safety on the community's railways vote
AMENDMENT REGULATION EC NO 881 2004 ESTABLISH EUROPEAN RAILWAY AGENCY VOTE,amendment of regulation ec no 881 / 2004 establishing a european railway agency vote
GENETICALLY MODIFY FOOD  FEED IMPLEMENT POWER CONFER ON COMMISSION VOTE,genetically modified food and feed implementing powers conferred on the commission vote
APPOINTMENT MEMBER COURT AUDITOR DAVID BOSTOCK VOTE,appointment of a member of the court of auditors david bostock vote
APPOINTMENT MEMBER COURT AUDITOR MICHEL CRETIN VOTE,appointment of a member of the court of auditors michel cretin vote
APPOINTMENT MEMBER COURT AUDITOR HARALD NOACK VOTE,appointment of a member of the court of auditors harald noack vote
APPOINTMENT MEMBER COURT AUDITOR HUBERT WEBER VOTE,appointment of a member of the court of auditors hubert weber vote
PROCLAMATION CONSENSUS ON HUMANITARIAN AID VOTE,proclamation of consensus on humanitarian aid vote
RENEW EU TOURISM POLICY TOWARDS STRONGER PARTNERSHIP  EUROPEAN TOURISM VOTE,a renewed eu tourism policy towards a stronger partnership for european tourism vote
SIT  CLOSE  12.20 P.M.,the sitting was closed at 12.20 p.m.
REFERRAL BACK  COMMITTEE  RECONSIDERATION AMENDMENT TABLE IN PLENARY RULE 156 SEE MINUTE,referral back to committee for reconsideration of amendments tabled in plenary rule 156 see minutes
FIGHT AGAINST TERRORISM MOTION  RESOLUTION TABLE SEE MINUTE,fight against terrorism motions for resolutions tabled see minutes
ORDER BUSINESS SEE MINUTE,order of business see minutes
SIT  CLOSE  10.30 P.M.,the sitting was closed at 10.30 p.m.
COMMISSION LEGISLATIVE  WORK PROGRAM  2008 MOTION  RESOLUTION TABLE SEE MINUTE,commission legislative and work programme for 2008 motions for resolutions tabled see minutes
ECONOMIC PARTNERSHIP AGREEMENT MOTION  RESOLUTION TABLE SEE MINUTE,economic partnership agreements motions for resolutions tabled see minutes
"EC MOROCCO AGREEMENT AIR SERVICE , PROTOCOL FOLLOW ACCESSION BULGARIUM  ROMANIUM VOTE","ec / morocco agreement air services , protocol following the accession of bulgaria and romania vote"
RURAL DEVELOPMENT ADAPT ANNEX VIIUS  ACT ACCESSION BULGARIUM  ROMANIUM VOTE,rural development adapting annex viii to the act of accession of bulgaria and romania vote
MONITORING EXPORT AGRICULTURAL PRODUCT RECEIVE REFUND   AMOUNT VOTE,monitoring of exports of agricultural products receiving refunds or other amounts vote
WHEEL AGRICULTURAL  FORESTRY TRACTOR COUPLING DEVICE  REVERSE CODIFY VERSION VOTE,wheeled agricultural or forestry tractors coupling device and reverse codified version vote
NON AUTOMATIC WEIGH INSTRUMENT CODIFY VERSION VOTE,non automatic weighing instruments codified version vote
RADIOACTIVE CONTAMINATION FOODSTUFF  FEEDINGSTUFF CODIFY VERSION VOTE,radioactive contamination of foodstuffs and of feedingstuffs codified version vote
MINIMUM STANDARD  PROTECTION CALF CODIFY VERSION VOTE,minimum standards for the protection of calves codified version vote
INNOVATIVE MEDICINE INITIATIVE JOINT UNDERTAKING VOTE,the innovative medicines initiative joint undertaking vote
REPORT CHRISTOPHER HEATON HARRUS,report christopher heaton harris
PROTECTION  CONSERVATION MARINE ENVIRONMENT MARINE STRATEGY DIRECTIVE VOTE,protection and conservation of the marine environment marine strategy directive vote
INTEROPERABILITY COMMUNITY RAIL SYSTEM RECAST VOTE,the interoperability of the community rail system recast vote
SIT  SUSPEND  12.40 P.M.  RESUME  3 P.M.,the sitting was suspended at 12.40 p.m. and resumed at 3 p.m.
"EC MOROCCO AGREEMENT EURO MEDITERRANEAN AVIATION AGREEMENT , PROTOCOL FOLLOW ACCESSION BULGARIUM  ROMANIUM VOTE","ec / morocco agreement euro mediterranean aviation agreement , protocol following the accession of bulgaria and romania vote"
MOBILISATION FLEXIBILITY INSTRUMENT VOTE,mobilisation of the flexibility instrument vote
AMEND IIUM MULTIANNUAL FINANCIAL FRAMEWORK VOTE,amending the iia multiannual financial framework vote
INFORMATION PROVISION  PROMOTION MEASURE  AGRICULTURAL PRODUCT VOTE,information provision and promotion measures for agricultural products vote
COMMISSION LEGISLATIVE  WORK PROGRAM  2008 VOTE,commission legislative and work programme for 2008 vote
ECONOMIC PARTNERSHIP AGREEMENT VOTE,economic partnership agreements vote
CORRECTION  VOTE SEE MINUTE,corrections to votes see minutes
TENTH ANNIVERSARY MINE BAN TREATY OTTAWA CONVENTION MOTION  RESOLUTION TABLE SEE MINUTE,tenth anniversary of the mine ban treaty ottawa convention motions for resolutions tabled see minutes
DRAFT GENERAL BUDGET 2008 AS MODIFY  COUNCIL ALL SECTION VOTE,draft general budget 2008 as modified by the council all sections vote
COOPERATION BETWEEN FUNDAMENTAL RIGHTS AGENCY  COUNCIL EUROPE VOTE,cooperation between the fundamental rights agency and the council of europe vote
